tweet_id,bio_id,text
1263238442722435072,R000486,"I'm pleased to celebrate our nation's #Jewish community during this #JewishAmericanHeritageMonth. Throughout U.S. history, the lives and legacies of #JewishAmericans have been central to the story of this country."
1240393076062945281,L000557,.@AccessHealthCT has announced a new special enrollment period beginning March 19th for uninsured qualified CT residents. You can call 855-365-2428 or find more information here: https://t.co/t5NhE5z0P0
1179571773874081792,B000575,Our state’s greatest advantage is our location and strengthening our infrastructure is vital to maximizing that advantage. Excited to see the project move forward
1147539776200794112,J000298,"...United Mineworkers, ILWU &amp; so many more. These unions understand several things: 1) workers are paying more &amp; more for their employer-insurance b/c for-profit insurance companies are raising premiums hugely for employer healthcare as well. Employers push much of that down."
941346757103013890,W000821,RELEASE: Westerman Statement on Iran Financial Transparency Bills https://t.co/sJxitJ7SCK
1126967145684844544,S001191,"Congratulations, @UofA 🐻 grads! #BearDown https://t.co/5p72ny1Joz"
1222879395158921216,M001202,Thanks @Mike2020 for elevating the issue of gun violence by telling the Kemp’s story in a powerful way. Proud to co-chair Mike’s campaign b/c he has stood up to the NRA to help end gun violence &amp; will #getitdone as president. Watch his Super Bowl ad here: https://t.co/N1Rud9NGVV
1331233828585746433,P000607,"I’m not sure which cartoon character (or Fox host, same thing) you are getting your news from, but this is NOT true at all. Nice if anyone in the WI @gop would stand up for our state. (And your responsibility as an elected official) https://t.co/zMUvo2ZRFa"
907067863265148928,C001066,"Sideways blowing rain, howling train wind, blaring tornado warnings...and eye still couple of counties away #StaySafe #Tampa #Orlando #Irma https://t.co/I5sBZlU8C1"
1143627799934246912,K000381,We can keep America safe and maintain our values. (4/4)
1357742060510601217,W000805,"For more info on the bill, click here: (8/8)
https://t.co/xbojFDdLOV https://t.co/grsNGHhKN9"
1354125351933407239,M001212,"I’m excited and eager to serve on the House Agriculture Committee and the House Committee on Veterans’ Affairs to guarantee that the voices of Alabama’s Second Congressional District will be heard in Washington.

Let's get to work! https://t.co/3MYN6ZGfWg"
1270081570523590658,L000570,@EDBDMEX Thank you Willie!
1113118278489079809,R000608,"While the Administration continues to take every possible avenue to undermine our nation’s health care system, I’m fighting each day to protect access to care for Nevada’s hardworking families. #ProtectOurCare"
1110527457625600000,K000367,"The Affordable  Care Act means that people can’t get kicked off their insurance for pre-existing conditions. With the stroke of a pen, this court filing by the administration would take that away.  I will fight this. https://t.co/rlTcKRLSJD"
882720727308406786,H000874,"I understand your concern, @My3Boys10. I will continue to urge GOP abandon repeal &amp; work with Dems to strengthen the ACA for all Americans. https://t.co/bWxxzWkNmf"
979702805182128130,P000608,What is your name if I *don’t* need anything?
1295802595584299008,M001197,"Today marks 100 years since the ratification of the 19th Amendment. In honor of this centennial, I encourage you to stand up and join my Women's Coalition. I need strong women by my side as we fight to save this country in November.  #WomensVote100
https://t.co/z1444Mqi3T"
1015980425141944325,C001035,It is heartening that the international effort to rescue the children trapped in a Thailand cave has resulted in the miraculous rescue of at least 4 boys.  The bravery of those who are risking their own lives to extract these children is extraordinary.
1251938795601178626,S001145,Happy Sunday - a reminder of what’s at stake in this moment. Let’s commit to getting involved in anyway we can to change the course of history this fall. https://t.co/TTPi7Ce61U
1184910131865280514,P000523,STARTING NOW ⤵️ https://t.co/QZTbKD9ae9
890791219357294592,F000457,Keep fighting back against this bill. Families in Minnesota and across our country deserve better than this. The fight is just beginning.
1273423946650734598,G000578,https://t.co/TVjD2fPcTW
1135885273890471936,S001187,"June is recognized as National PTS Awareness Month. Through my career with @OHNationalGuard, I’ve had the opportunity to serve alongside courageous men and women, and I’m committed to ensuring they have access to the treatment they need to heal – both physically and mentally."
1131672235213819906,B000755,"Love seeing this kind of American ingenuity coming out of a company headquartered in The Woodlands.  #polyusable 
https://t.co/I9W8xwM1ur"
1174327761445576704,M001200,Everyone deserves access to clean drinking water. So why is the @EPA making that harder to do by wiping out protections for streams and wetlands? We deserve a president who will protect clean water and the health of our families and communities. #DirtyWaterRule #ProtectCleanWater https://t.co/VIsHAZNjGG
1345495296197976071,M001169,"If I believed my election was possibly fraudulent, I wouldn't get sworn in until such questions were resolved.

Shouldn't the Senators alleging fraud who were elected in 2020 (Lummis, Marshall, Hagerty, Tuberville, Daines) wait to get sworn in until their concerns are addressed?"
1326195650489446402,W000817,"Right this minute, Justice Barrett and the Supreme Court are hearing the case that could overturn the ACA. Republicans want to rip away your health care, but health care is a basic human right. Democrats will fight on. https://t.co/GYZra3IDDx"
1250803126493417477,H001053,"The #PaycheckProtectionProgram is officially out of funds. We could have easily replenished these funds a week ago when @senatemajldr put forward a resolution to bolster #PPP with an additional $250 billion.

Small businesses employ 56 million+ Americans. This is UNACCEPTABLE. https://t.co/Tzftl5yATF"
1055943735685627905,S001190,"I visited Certasun in Buffalo Grove, a home solar company serving the Chicagoland area and also toured a nearby home where they recently installed panels. #BradAtYourBusiness https://t.co/1Mnf0Kppa1"
1017532514674585600,D000598,Having a prepared workforce with access to high-quality jobs is key to economic growth and a strong middle class. I joined with @RepGuthrie in holding first-ever event of the bipartisan Congressional #Apprenticeship Caucus to explore expanding quality apprenticeship programs. https://t.co/y69jqq9ZY2
1033061680434085888,C000141,"Third: our educators are exactly that – educators. A difficult enough job as it stands. They do not want guns in their classrooms, making the job exponentially more difficult and dangerous. This proposal would ignore that reality, which is precisely why I'll fight it. #GunSafety"
1082005772559470592,S001194,The next President should have more sympathy for tenants than landlords. The next President should know regular people. The next President should know what the government does.
1016774010313564160,J000288,"Well said @SherryBostonDA -- this is reprehensible, outrageous &amp; if we weren't in this alternate universe that has not just allowed, but fostered &amp; encouraged this kind of behavior then it would be unbelievable, too. #smh https://t.co/uc9ik5MlPs"
926124913802563585,L000569,Getting ready to talk with @SIRIUSXM about the newly released @HouseGOP #taxreform plan. https://t.co/pbDvhVQ0wT
1369038031571853322,C001061,"On #internationalwomensday, I am once again reminded of how grateful I am to be in the company of such strong, hardworking, and thoughtful women -- from friends, to colleagues, to family members."
989247343961739264,A000370,Are you looking for a new career or a summer job? Visit the Bridging the Gap Career Fair during #SmallBizWeek next week to meet dozens of local employers! https://t.co/LTKuXiJmRG
1298024411258327041,C001056,Great to be at @BVFoodBank today to discuss the more than $124 million the Bryan-College Station region has received in coronavirus relief funding so far from Congress. https://t.co/zG0Q0129pV
1077291891945820160,L000588,Got to spend some time today visiting with veterans at the @VAPittsburgh Heinz Campus in Aspinwall. Special thanks to all the staff &amp; volunteers working over the holidays to care for those who served our country. Thanks for having me. Wishing you all a #MerryChristmas. #PA17 https://t.co/jOMOE1mijZ
1169309846681899011,R000595,"Dropped by @RedCross operation center with @SenRickScott &amp; @MiamiMayor to thank the amazing volunteers for all they have done &amp; are doing for #Florida. 

#Sayfie https://t.co/9DqVxRT5i9"
1071214040314249217,M000087,"While we must work towards an NYC in which public schools are 100% accessible, I am pleased that this enrollment policy change will give students the opportunity to attend schools that meet their physical accessibility needs. 
https://t.co/FtL9yIfyvo"
900412934743969792,D000628,My statement on the passing of former State Senator Greg Evers. https://t.co/IIwvL1SyzU
1367942545444114437,E000296,".@SoPhReview reports on the bill @SenBobCasey &amp; I have introduced to help victims and survivors of gun violence:
https://t.co/2A9YA4PMCZ"
1249827785914429444,M001200,"Do you have #COVID19 questions that still need answers? Tweet them using #AskRepMcEachin and I will answer on-camera this Thursday, April 16. I look forward to taking as many questions as I can from #VA04 constituents this week! https://t.co/kMetiuc3fz"
1201908737625251841,W000806,Thank you all for participating. Great to meet so many young innovators! https://t.co/3PJgNGnCb1
1260221657467289600,R000577,"This crisis has pulled the rug out from under so many hard-working Americans. It’s our job to show them we have their backs. #EmergencyMoneyForThePeople
https://t.co/LdU9GQ6STc"
1238136829343342592,C000754,".@GovBillLee's emergency declaration for TN opens up more federal funding, in addition to the $10M granted yesterday, to help with the state’s response to coronavirus. I’ve asked the Trump administration to increase the availability of test kits, as well. https://t.co/nJeKG3hTdk"
929135727534845953,D000216,Feels great to be among friends with @ActTogetherCT @NoWPANCT @HamdenPAN @IndivisibleConn and @NOW_CT as we discuss waging the battle for the vulnerable. https://t.co/Rqjc3AMOzg
1096546160351895553,M001208,"As we wait for details from #Aurora, our thoughts are with all who are waiting for news about their loved ones, and we send our thanks to the first responders.

But we know that we need more than thoughts and prayers to keep us safe. #EndGunViolence #EnoughIsEnough https://t.co/Q62WXazJFJ"
1133894290910961664,P000593,"Best of luck to these two young Coloradans who will represent our state at the Scripps National Spelling Bee finals!
https://t.co/p6jJmhcnPy"
1131255924734218242,M001143,"@EPA Our bill invests over $10 billion to support &amp; strengthen Indian tribal self-determination, including $1 billion – the highest funding ever recommended – for the operation of Native education programs. We’re committed to honoring our trust &amp; treaty obligations to tribal nations. https://t.co/jKJY88GaLQ"
1196884763551977472,W000804,"The U.S.-India tri-service exercise, TIGER TRIUMPH, is taking place in India from 13-21 Nov. The exercise is the first tri-services joint exercise between the United States and India. Strengthening our relationships and learning from other fighting forces is critical to the NDS."
1204573033354203136,B001310,"To honor @PeteFrates3’s legacy of bringing awareness and research dollars to the fight against #ALS, lawmakers must do everything we can to provide faster access to meaningful treatments - giving hope to the many still fighting this terrible disease. 
https://t.co/S7o91pMcNF"
1347098864302649350,A000148,"Great morning. Awful day. Long night. But the right ending: Joe Biden certified as 46th president.

Now a few hours sleep. https://t.co/VXOE2PFTSH"
1060308906361020416,C001113,".@realDonaldTrump has said he wouldn’t have hired Sessions if he knew he would recuse himself from the investigation. Now, after forcing him out, it’s even more critical we protect the Special Counsel. @senatemajldr &amp; Sen. GOP must act immediately to protect the Special Counsel"
1310982552543473670,C000266,"A program unveiled by @WarrenCoCommish will use nearly $1.1 million awarded to the County through the CARES Act to provide grants to small businesses, non-profits, and childcare facilities."
1017799527431012353,D000563,"This tax bill was and always will be a giveaway to the super wealthy and big corporations, not hardworking and middle class Americans who deserved a break. #GOPTaxScam. https://t.co/MxJz9vLwEX"
1241048161315102726,K000368,"Proud to have received a 100% rating on Defenders of Wildlife's report card. I will continue to protect wildlife, public lands, and conservationist efforts as long as I serve the great state of Arizona.

https://t.co/9zFutKnBry"
971455838815744000,B001299,"Increasing options for military-dependent kids will allow our most elite to advance their careers. Currently, 40% of service members would decline a career-advancing job to remain near a higher performing school. #MESA https://t.co/7JLbYymmUT https://t.co/WutR9FJaMk"
1162385509659893761,G000359,"Look forward to having congressional hearings and reviewing, debating, and voting on any proposed peace agreement with the Taliban that affects America’s future presence in Afghanistan."
1268594495161065474,R000614,"""The measure extended the loan forgiveness period to 24 weeks &amp; altered a provision that required recipients to use at least 75% of their loan for payroll costs. Small businesses now have to use at least 60% of their loan on payroll &amp; 40% on other costs."" https://t.co/Ji89pFBdaJ"
938878896753258496,J000289,Looking forward to it. https://t.co/A5luaUEMfN
1275784094933291009,B001299,"The coronavirus’ impact on our children’s education could “last a lifetime.” Already remote learning has set the average student back 7 months. Hispanic/Black students are losing 9/10 months respectively.

We can’t afford to keep our schools shut down. https://t.co/wfD8JhUYlq"
1104113116932116480,D000622,Having a hearing on gun violence is a good first step. I joined @ChrisMurphyCT in calling for a Senate hearing earlier this week as the epidemic of gun violence continues to impact communities close to home and throughout our nation. Background checks save lives. https://t.co/UHaFEnIlHl
1335690479854383109,S001199,"I applaud Lancaster County utilizing CARES Act funding in partnership with @thaddeusstevens and @sacalancaster to help people get employed and back to work. 
https://t.co/qZsRInOCAs"
1166346732646670336,E000295,"Iowans know what’s best for Iowa. As I continue on my #99CountyTour for 2019, crisscrossing the state, visiting and talking with folks, and hosting town halls, I remain focused on hearing from Iowans and bringing those ideas to Washington. https://t.co/tbtFTqBNeo"
1274038776331993091,U000040,"Here's the good news: more than 100 members of Congress, both Democrat and Republican, have joined the Black Maternal Health Caucus. There's a lot of work ahead, but we are coming together to fix these problems."
1003728967646539776,B001303,The only way to ensure the LGBTQ community is protected from the kind of discrimination in Masterpiece is to pass the #EqualityAct. We have come too far to roll back basic protections on discrimination. #OpenToAll https://t.co/EHlrjzKmD3
1333988698355068930,S001193,"Credit where credit is due! 

Art: “How Far is a Light Year” by @grahovsky 

Tree/decor: Brilliant wife https://t.co/NnNtVFcuq5"
1135231073863045121,C001095,"Please listen to your local officials. If they issue an evacuation order, take that advice. You can replace your furniture, restore your home, but you can’t replace your life. https://t.co/AOEqWyUPdL"
1247698173730136065,L000570,"The #COVID19 pandemic has hit Navajo Nation and New Mexico’s sovereign Tribes especially hard.  

And I am fighting for Indian Country as we continue to respond to the many challenges created by this public health crisis.

Listen to a message I shared over radio to Navajo Nation: https://t.co/jPw5IyaJDP"
1019304226269335558,O000170,I’m proud to be an original cosponsor of the #ANTIQUITIESActOf2018 with @RepLujanGrisham. This bill would add protections for our national monuments so future generations can enjoy these treasures.
1098281107995406337,C001117,"Charlie explains what so many on the far left and right fail to understand about low-carbon energy.  Namely, that its deployment creates wealth by the direct result of its lower marginal cost.  It is inherently economically stimulative. https://t.co/fh4S3cAbPn"
1159560775624798210,I000055,"Saturday is the 75th anniversary of the disbanding of the #WWII unit Merrill’s Marauders - today’s @USArmy Rangers. I’ve introduced a bill to honor them with the Congressional Gold Medal. Glad to see this Saturday event at @OfficialLWH in Warm Springs, Ga. https://t.co/ju8EJbgIdL https://t.co/UKx5dfDHdO"
1153691308147531776,C001075,".@USDOT is awarding a $10.5 million grant to NE Louisiana, creating jobs in a region that has suffered under the previous administration's weak economic recovery. @realDonaldTrump cares about working families - this is a great example. https://t.co/Nu7LBN2Hlp"
1361352067546234885,S001191,"Happy Presidents Day, AZ!"
1006624439113379840,B001135,"Kayla McKeon is an inspiring advocate for Americans with disabilities across the country. The ABLE to Work Act, which passed in last year’s #TaxCutsandJobsAct, allows more people like Kayla to work at a job they love and save for their future: https://t.co/dxFraKQjrw"
1287702610481491968,C001087,".@RepJerryNadler would say this is all a “myth”. @repblumenauer has said this is all peaceful, no reason for the presence that’s there of LEO’s protecting the federal courthouse. Incendiary devices, lasers that blind officers, concussions. This is anarchy. ⬇️ https://t.co/omXxAILphx"
896781459826118656,O000170,"I urge the President to denounce white supremacists, their terrorism, and everything they stand for in no uncertain terms."
1323681226541076480,S000770,"It’s #ElectionDay and @gretchenwhitmer 
and I are making one last push in Lansing. Thank you to all of the incredible volunteers who are working so hard for leaders who will heal our country and build back better! #Vote https://t.co/x9yMp4FnHb"
991682315909644288,W000779,Totally impressed by the facilities and #CTE training opportunities at Baker Technical Institute for @baker5jSchools students to get good jobs in Eastern Oregon. Thanks to @D_Vanderwiele &amp; all the institute folks for the tour after yesterday’s Baker County #2018townhall. https://t.co/ELWjiUtVeG
1375473144220225545,G000591,"ICYMI: My latest op-ed covers the details of the growing crisis on our border. In short, we must reinstate the proven policies Republicans implemented in 2019 to secure our border.

https://t.co/GLq3jYdRxt"
925828699211038720,M001169,"Murphy, Blumenthal, Courtney applaud federal grant to bring affordable, locally-grown food to CT residents https://t.co/LPhmxqvEsK"
1053798483466031104,M001170,There’s only one candidate in this race fighting to make higher education more affordable—that’s @ClaireCMC. #MOSen https://t.co/ocv19vlFn6
997197276148916224,H001068,Welcome to my world.... https://t.co/WdYC4fvZuM
918141455658602498,K000390,"ICYMI: @RepJayapal, @CongressmanRaja and I sent a letter to @realDonaldTrump urging his administration to terminate efforts to surveil and collect data on American citizens. This proposal is un-American. https://t.co/8XLwoSU5an"
1191873602297221120,S001217,"I’ve been fighting for a year and a half, along with the Parkland families, to get answers on who has been held accountable and what changes have been made following the FBI’s failures. 

Today we finally got some. Watch a clip from the hearing: https://t.co/DxxEngUWEV"
1072887816554799105,G000546,Join me and @agritalk LIVE 🔊 https://t.co/PlFPIESh4M https://t.co/rCdRLeTWQH
1032342837499715585,M000087,"@nicole16780317 You can count on me to stand by SNAP. This is a key safety net program that we need to bolster, not cut."
954463251110141953,W000437,I authored the law providing for a 24-hr waiting period for abortions in MS. I'm the author right now of legislation providing that no taxpayer funding can be used to fund abortions of any kind. We have more work to do &amp; I am committed to passing more #ProLife laws. #MarchForLife https://t.co/hGkl9yjkoq
1232724556030365696,D000216,House Appropriators will put together a supplemental funding request to deal with this issue.
977263727488782336,C001080,"On Thursday, Ryan sat before the @HouseCommerce committee to testify about his own experiences in recovery, and how H.R. 4684 can help us save lives. You can watch him here: https://t.co/2q1HYiuCZR https://t.co/CyVSq1ZKMD"
1283462035175596033,B001297,"Meanwhile…

The Squad wants to defund CBP/ICE agents who are protecting us from dangerous MS-13 gang members at the border day in and day out. https://t.co/TxzaEnNvGv https://t.co/DOBuu68vnl"
949689046577577984,M001202,Happy to welcome Republican @RepJackBergman to central Florida. Congressman Bergman is a retired 3-star Marine general &amp; member of the Veterans Affairs Committee. We toured the Orlando VA Medical Center w/@RepDarrenSoto to discuss the care that our veterans are receiving. #FlaPol https://t.co/kgSkz52ukl
1242493787219333127,E000296,I was proud to introduce the portion of this that would expand &amp; speed up the Economic Injury Disaster Loan Program for small businesses! https://t.co/2gg8Vqv6K3
1224841675073294336,D000617,It is my privilege to be joined by #WA01’s Dana VanBuecken for tonight’s #SOTU address. Dana has type 1 diabetes and has bravely spoken about the prohibitive costs of insulin &amp; its toll on millions of Americans. I'm so pleased to help bring her advocacy for #LowerDrugCosts to DC. https://t.co/24Kpg017lH
1200082695369449473,K000368,"It’s more important than ever to spend time in our communities, working together &amp; lending a hand to our neighbor. Thanksgiving is a day when we can pause and give thanks for what we do have - families, health, and open hearted communities. Happy Thanksgiving from mine to yours. https://t.co/bu159INCLj"
1058437814201802752,R000585,Voters are recognizing @MitranoForNY23's unfounded and radical smear campaign against me and my family - and they're not buying it. https://t.co/YVFegJ2fuO
1143520470471446529,D000598,Don't forget about my Office Hours today at University Heights Library! https://t.co/yB2woNuT8s
1029499834326237185,E000215,"To read more about the Social Security 2100 Act, click here: https://t.co/rKZDnUSDN8"
927952126986289152,B001304,"22,500 people in MD are on #TPS contributing $1.2 billion to the state GDP. 19,800 Salvadorans, 1,900 Hondurans &amp; 800 Haitians. #SaveTPS https://t.co/JBg1aLTUi9"
1237126553080860672,G000359,"I had a great meeting today with @SecPompeo about a variety of pressing issues facing our nation. 

I have complete confidence in Secretary Pompeo and think he is the right man at the right time to assist President Trump and represent our nation on the diplomatic front."
1306955224100335618,R000122,"The #Census helps ensure RI communities get their fair share of federal funding &amp; representation in Congress. Next 10 days will have a big impact on the next 10 years for our roads, schools &amp; hospitals. Let’s #GetCountedRI! #2020Census Watch live at 10am:
https://t.co/bHWgkbeYSA"
1231969480869384193,M000639,"We learned our lessons from #SuperstormSandy when it devastated Hoboken and we won’t ignore the threat of climate change that has been bringing extreme floods.

This innovative park will include state-of-the-art green space and tanks underneath to hold back rainwater &amp; runoff. 👇 https://t.co/tIorWD2A7w"
1136730359608090624,C001066,"It’s a wonderful day to express the gratitude of #TampaBay to the #GreatestGeneration! 75 years ago -at Normandy - thousands of young Americans answered our nation’s call to fight for freedom, peace, &amp; prosperity in Europe &amp; around the globe. Take time to honor &amp; remember them!🇺🇸 https://t.co/xGbvfI22Kw"
1260593366150103041,S001215,"“We’re all in this together...Things change, but you gotta adapt, and you can still rise.” 

Michigan filmmaker tells her story and unites 115 people to recite Maya Angelou. 

Keep creating, folks, even when it feels like you can’t. Trust yourself.

https://t.co/63NwhvFw7j"
978371261645643777,L000551,This is one of my all-time favorite quotes from Margaret Mead. Such a moving and thoughtful gesture from Robert Kraft and his organization. https://t.co/au1JlssZm8
944905092507099136,L000576,".#Amtrak Safety — or Danger — Needs a Hearing, Cantwell Says https://t.co/wZ8mwQE0Dn"
1038108835054059522,P000597,"As a farmer and small business owner, I know it isn't easy to make a living off the land and that Maine's farming communities need support in order to thrive.

That’s why I’ve fought hard to cut unnecessary regulation, increase access to loans, and expand rural broadband access."
1159442859814195201,M001197,Great to see so much support in Phoenix last night! https://t.co/v5CXcW1YIE
1224887185993879552,G000585,"What ""wall"" was @realDonaldTrump talking about?

It can't be the one Mexico was supposed to pay for because they've vowed NEVER to put a dime toward that hate-filled vanity project.

He must be talking about the one where he stole money from our military projects to build.

#SOTU"
1371918932681097219,N000189,"The Benton County Commission will hold a town hall meeting TONIGHT at 6 p.m. at the Benton County Justice Center, 7122 W. Okanogan Place in Kennewick. Make sure your voice is heard by local leaders regarding this proposed project: 
https://t.co/ngWhi2FapL"
997823697804234752,B001291,Tired of school shootings? We have the solution...watch. I delivered this speech the night before the school shooting took place in Texas. https://t.co/zx6C92ikwT
911743824837431297,V000081,For those seeking friends and loved ones in #PuertoRico this tool may be helpful. https://t.co/hO2vImhAar
1005042772238356482,H001036,Join @MariaBartiromo &amp; me on @FoxBusiness @MorningsMaria in just a few moments. https://t.co/HhsCsiCKoP
973920928982761473,S000510,I stand with the students across the country who are walking out of their classrooms today to call for responsible legislation to stop #GUNviolence in America. #NeverAgain #StudentsDemandAction https://t.co/pXwnCSzcnF
1166416868481142786,W000802,@exxonmobil Corporate mouthpieces like @USChamber/@ShopFloorNAM  are worst obstructors (and their corporate board members sit idly by).
1259167279574630402,F000468,"I was glad to speak with Mr. Takaoda's 7th grade history class at @throgers1 yesterday! Lots of engaging questions about coronavirus and how the federal government is addressing it, from health to the economy. Thanks for having me! https://t.co/syo7PMGe2S"
1190366502001815561,S001184,"It is fitting that this #NationalAdoptionMonth, @HHSGov has sided with our most vulnerable children in restoring the rights of the faith-based adoption agencies in South Carolina who care for them. My full statement here: 
https://t.co/WmZ7Q0a3bS"
